trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",25,0,-1454.8017229378881,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.4, 'e': 0.9960079893439915}",25,0,-1130.2877579355024,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.9920319148370607}",25,0,-163.19376529734978,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.9880717128619305}",20,0,-381.0626948517859,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9841273200552851}",20,0,-79.72757682336461,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.9801986733067553}",20,2,-363.5056103650117,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.4, 'e': 0.9762857097579093}",20,0,-820.1851602388067,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.9723883668012469}",30,0,-1451.494474417728,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.4, 'e': 0.9685065820791976}",25,8,16.40887476046225,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.9646402934831231}",20,0,-1077.6789134952098,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.4, 'e': 0.9607894391523232}",25,0,-548.6793385094458,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.9569539574730467}",20,0,-24.56553454748073,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.9531337870775047}",20,0,-442.6935291946103,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.9493288668428895}",25,0,-761.1963864265728,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.4, 'e': 0.9455391358903963}",25,0,-369.85090701793524,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.9417645335842487}",25,5,-384.9181783126754,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
17,False,"{'a': 0.4, 'e': 0.9380049995307295}",30,0,-449.24239561406785,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.9342604735772135}",20,0,-370.9138284138479,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.4, 'e': 0.9305308958112057}",20,0,-811.3406277248846,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.9268162065593822}",20,0,-146.6415459164357,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
21,False,"{'a': 0.4, 'e': 0.9231163463866358}",20,0,-727.5282522556095,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.9194312560951247}",25,0,-149.7825045412322,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.9157608767233256}",20,0,-789.2249645708903,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.4, 'e': 0.9121051495450904}",25,0,-799.2430397501939,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.9084640160687062}",25,0,-358.25771303100527,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.9048374180359595}",25,0,-776.4744984776939,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
27,False,"{'a': 0.4, 'e': 0.9012252974212048}",20,0,-327.6857073282023,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.8976275964304349}",25,0,-727.7749798237617,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.8940442575003572}",20,0,-18.219893823568057,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.4, 'e': 0.8904752232974726}",30,0,-1495.8880135209674,"{0: 21, 1: 0, 2: 3, 3: 2, 4: 4}",0
31,False,"{'a': 0.4, 'e': 0.8869204367171575}",25,5,-367.0751329439771,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.4, 'e': 0.8833798408827509}",20,0,-750.0270394884834,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.4, 'e': 0.8798533791446438}",25,0,-339.0017392320008,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.8763409950793734}",25,0,-373.3194935154671,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.8728426324887193}",35,0,-520.0109773939473,"{0: 20, 1: 2, 2: 10, 3: 2, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.8693582353988059}",30,0,-444.77015670779,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.865887748059205}",20,0,-416.43673732557176,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
38,False,"{'a': 0.4, 'e': 0.8624311149420455}",20,7,-363.72545805306396,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
39,False,"{'a': 0.4, 'e': 0.8589882807411235}",25,0,-113.54657278949037,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
40,False,"{'a': 0.4, 'e': 0.8555591903710185}",20,0,-1199.380298166683,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
41,False,"{'a': 0.4, 'e': 0.8521437889662113}",20,1,-324.20089883591675,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.4, 'e': 0.8487420218802068}",30,0,-831.1177506184159,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.4, 'e': 0.8453538346846587}",25,6,-73.62125246439854,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.8419791731684999}",20,10,-52.655003346493054,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
45,False,"{'a': 0.4, 'e': 0.838617983337074}",20,2,-397.37949484710225,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
46,False,"{'a': 0.4, 'e': 0.835270211411272}",20,0,-712.240543316309,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.4, 'e': 0.8319358038266718}",25,0,-535.3409446751185,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.8286147072326806}",25,0,-348.24435231300043,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.8253068684916824}",20,0,-414.3662184478369,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.8220122346781865}",20,0,-127.852220191,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.8187307530779818}",25,0,-21.936721610073512,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.4, 'e': 0.8154623711872927}",25,0,-726.7180473103277,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.4, 'e': 0.8122070367119391}",30,0,-436.1539914558399,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.8089646975664999}",25,0,-97.06883505829481,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.8057353018734796}",20,5,14.414094536154893,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.8025187979624785}",35,0,-803.1100644230156,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.7993151343693651}",35,6,-109.06695859793452,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.7961242598354538}",25,0,-114.1758829366269,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.7929461233066837}",25,0,-726.1679922670314,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",1
